Player Name,Position,Minutes,Touches,Shots,Progressive Carries,Interceptions,fThird Passes,Successful fThird Passes,Crosses,Successful Crosses,Ground Duels,gDuels Won
Marc Guéhi,DEF,3059,2206,15,103,14,220,117,11,3,100,52
Maxence Lacroix,DEF,3118,1991,30,212,38,235,163,4,0,100,68
Tyrick Mitchell,DEF,3102,1838,12,93,7,87,67,1,0,23,19
Will Hughes,MID,2118,1278,22,260,21,318,268,3,0,137,90
Abdoulaye Doucouré,MID,2577,1231,31,108,10,305,233,23,1,210,77
Adam Armstrong,FWD,1252,405,26,42,3,111,85,14,3,72,23
Ashley Young,DEF,1869,1238,6,63,23,175,140,10,2,79,46
Beto,FWD,1528,601,49,156,6,345,251,48,9,203,97
Dominic Calvert-Lewin,FWD,1613,596,50,74,1,150,100,4,1,198,71
Dwight McNeil,MID,1371,827,25,176,11,352,239,29,7,296,157
Idrissa Gueye,MID,3067,1930,27,142,4,82,67,4,1,32,16
Iliman Ndiaye,FWD,2440,1246,37,194,13,580,514,17,2,139,69
Jack Harrison,MID,2083,1041,29,74,16,256,188,15,3,82,38
Jake O'Brien,MID,1569,916,6,66,6,141,114,2,0,47,29
James Garner,MID,1594,1024,12,113,46,292,187,56,11,189,111
James Tarkowski,DEF,2924,1771,15,62,13,220,183,9,2,71,32
Jarrad Branthwaite,DEF,2510,1558,10,214,16,334,234,60,10,329,136
Jesper Lindstrøm,MID,1240,679,28,141,20,261,209,10,2,174,95
Michael Keane,DEF,1046,518,10,77,10,86,69,0,0,48,23
Orel Mangala,MID,1255,663,16,134,30,283,238,14,2,179,95
Vitalii Mykolenko,DEF,3084,1744,14,84,27,316,236,29,8,110,56
Adama Traoré,MID,1769,888,39,187,1,238,190,100,30,192,100
Alex Iwobi,MID,2994,1983,68,281,14,678,508,124,25,222,110
Andreas Pereira,MID,2022,1205,39,168,21,496,400,85,21,107,54
Antonee Robinson,DEF,3167,2647,16,111,19,121,82,13,0,77,34
Calvin Bassey,DEF,3074,2536,14,45,2,82,65,3,0,109,41
Emile Smith Rowe,MID,2061,1279,37,107,12,114,61,2,0,64,44
Harry Wilson,MID,1157,635,43,95,9,218,178,13,6,82,40
Issa Diop,DEF,1335,911,5,84,7,160,122,8,1,150,80
Joachim Andersen,DEF,2663,2466,20,87,6,152,128,18,1,127,55
Kenny Tete,DEF,1779,1260,24,133,7,610,473,79,14,127,48
Raúl Jiménez,FWD,2505,1111,96,85,10,260,177,23,5,218,96
Sander Berge,MID,2227,1436,3,158,34,435,338,30,6,219,120
Sasa Lukic,MID,2355,1546,18,256,6,485,411,70,16,206,103
Timothy Castagne,DEF,1643,1194,8,225,23,410,338,52,11,209,114
Alex Palmer,MID,1170,524,0,0,0,0,0,0,0,0,0
Axel Tuanzebe,DEF,1717,1011,4,103,12,105,59,4,1,48,24
Ben Johnson,DEF,1348,660,7,60,16,220,174,17,3,67,25
Cameron Burgess,DEF,1540,994,10,200,46,322,248,9,3,293,160
Dara O'Shea,DEF,3123,2063,22,41,4,119,73,3,1,113,43
Jack Clarke,FWD,1170,625,17,131,10,234,149,89,16,212,84
Jacob Greaves,DEF,2205,1447,10,172,13,419,307,119,22,181,78
Jens Cajuste,MID,1976,1090,12,60,12,151,110,38,9,169,63
Julio Enciso,MID,1164,707,52,366,4,474,382,59,11,304,171
Kalvin Phillips,MID,1239,787,11,139,6,147,112,26,8,179,72
Leif Davis,DEF,2746,1641,16,111,18,93,81,1,1,54,33
Liam Delap,FWD,2612,821,68,224,32,211,157,9,3,94,53
